SMILES,log IC50,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_dbo,h_log_pbo,h_mr,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb
Clc1c(N(S(=O)(=O)C)CC(=O)O)c2NC(=O)C(=O)Nc2cc1C,0,42.313515,0,0,3,4,6,0,6,0,35,4,10,23,10,73.221146,2.0920327,0,0,12,1,0,12,0,3,6,0,1,2.3407438,-2.5203636,-0.50384486,0.3989943,2.5402808,-2.6608317,-0.45990697,0.44010374,2.5470762,-2.1736996,-0.2798562,0.55614716,2.8999243,26.188484,4,0.16666667,6,36,3,24,4,4,0.16666667,27,0,17.52458,13.578764,7.2844572,8.0330153,10.518764,8.3961315,2.6809037,3.4687619,0,0,1.0285094,9,0,-0.80882543,-0.4709788,0.062592149,2.5619719,-1.0188593,-0.46199042,0.096069038,2.6323278,-0.47908327,-0.2012063,0.19481565,2.8844607,9.2995024,16.660336,7.3194017,0.76441562,0.87583882,-3.2123642,1.3737319,7.0750837,8.346015,-1.0627081,3.7846398,14,1.3101798,4.4533625,19.326389,7.0869246,4.1587901,16.295008,5.9262414,3.4559917,4.1986151,9,3,1,0,-0.94599998,-2.7420599,8.0409203,0,1,11,1,2,3,1,0,0,2.0426629,-2.0426629,0.26939535,0.12842731,66.541847,6.6995511,26.999058,0,0,14.708499,57.283573,2.2085397,29.581947,0,13.566921,43.381676,40.700764,0,0.48263574,0.42907423,0.27872103,0.51736426,0.57092577,0.23864324,145.59787,129.43985,84.082436,156.07451,172.23253,71.992073,0.44444445,0.80000001,0,0,0,0,1,0,0,0,1,0,301.67236,0,0,0,301.67236,0,5,0,2,0,0,0.13043478,0.38962001,1.5185606,102.45622,78.227394,43.824806,3.185575,31.691174,3.5006065,17.643185,0,80.744904,8.3274002,119.75834,0,26.903788,6.6861815,44.291744,17.643185,36.70261,110.80657,132.88,0.43892586,5.5849624,2.9182785,8.8141422,301.67236,339.97357,59.150364,0,0,11.365152,153.30984,50.713169,97.649361,361.76199,1044,40,122
P(=O)(O)(O)Cc1c2nc(O)c(O)nc2cc(F)c1,0,31.571344,0,0,2,3,7,0,10,0,26,5,12,18,8,56.072468,2.1566334,0,0,9,0,1,8,0,2,5,1,0,2.1026344,-2.3743274,-0.73075676,0.66061336,2.5110185,-2.2983143,-0.96388286,0.66176695,2.7156065,-2.1053426,-0.45661497,0.86917132,2.786407,21.026655,2,0.10526316,11,27,0,19,3,2,0.10526316,16,0,13.499636,9.6729422,4.8618073,5.585422,8.2598391,6.4852829,2.2582538,3.0412414,0,0,1.0599973,8,0,-0.7363407,-0.50556546,0.14142521,2.349185,-1.2934222,-0.48178452,0.003760045,2.4832103,-0.44035915,-0.23426917,0.27062997,2.6235578,8.8744974,14.384554,3.1748827,-0.014434391,-0.34347355,-1.657006,1.2609346,5.8268948,6.3574481,-2.0461967,-8.1682606,14,1.2704235,24.632172,14.409972,5.1747918,3.5261707,12.290248,4.369493,2.9553752,2.9834528,7,4,1,0,0.14952999,-0.18172,6.1163774,0,1,11,1,2,2,0,0,0,1.6065786,-1.6065786,0.21424788,0.13407683,15.808495,18.017035,22.419949,0,0,43.228069,13.666999,0,0,0,27.133842,70.461197,0,0,0.39565846,0.46311608,0.33435833,0.60434151,0.53688389,0.2699832,83.379318,97.595039,70.461197,127.35626,113.14054,56.895069,0.5,1,0,0,0,0,1,0,0,0,1,0,210.73558,0,0,0,210.73558,0,4,1,2,0,0,0.33333334,0.054000001,115.81815,33.57106,9.1210184,0,3.185575,0,0,39.574642,0,55.428028,5.8092198,22.433765,141.91556,9.1210184,12.814776,4.2882738,51.325611,0,14.799472,123.77,0.52150291,5.2479277,2.8157024,8.0708361,210.73558,251.0195,11.365152,0,0,0,85.483116,39.566059,85.686401,274.14398,567,27,96
P(=O)(O)(O)C(O)c1c2nc(O)c(O)nc2ccc1,0.11394335,32.483135,0,0,2,3,8,0,10,0,27,6,14,18,7,53.813538,1.993094,0,0,9,0,0,9,0,2,6,1,0,2.1323767,-2.3872745,-0.73948532,0.71554375,2.5540335,-2.3452811,-0.95396775,0.63579917,2.7131424,-2.1384475,-0.5088743,0.89265031,2.8004732,20.916862,2,0.10526316,11,28,0,19,3,2,0.10526316,17,0,13.499636,9.689785,4.809401,5.585422,8.3035488,6.404851,2.282692,3.1498299,1,1,1.0439435,8,0,-0.73159915,-0.50653654,0.19774576,2.3767769,-1.293608,-0.50760436,0.005893369,2.4982204,-0.47742748,-0.25473854,0.27793518,2.6491911,9.5857372,15.73507,2.3282328,-0.62824064,-0.98919314,-1.1940223,1.2532686,5.6868649,6.4785786,-2.029681,-8.9493504,14,1.1763251,26.351324,14.409972,5.1747918,2.9629629,12.422766,4.4196744,2.5131524,3.0502543,8,5,1,0,-0.57347,0.43507001,6.1866431,0,1,11,1,2,2,0,0,0,1.5498552,-1.5498552,0.23518164,0.13892791,47.425484,2.2085397,13.399102,0,0,25.899061,23.64603,0,0,0,40.700764,58.552563,0,0,0.4896999,0.46854836,0.27641097,0.5103001,0.53145164,0.23388912,103.73389,99.253326,58.552563,108.09766,112.57822,49.545094,0.5,1,0,0,0,0,1,0,0,0,1,0,211.83154,0,0,0,211.83154,0,4,1,2,0,0,0.3888889,-0.7651,141.20338,33.57106,0,0,3.185575,0,0,57.217827,3.6394844,24.428673,5.9295998,22.433765,152.34068,0,16.454262,4.2882738,52.929554,0,14.799472,144,0.52150291,5.2479277,2.8018844,8.0720844,211.83154,252.00693,11.365152,0,0,0,73.012161,39.566059,99.253326,272.15298,558,30,96
P(=O)(O)(O)C(NCc1ccccc1)c1c2nc(O)c(O)nc2cc([N+](=O)[O-])c1.Br,0.17609125,55.52269,0,0,3,5,8,0,16,0,45,6,14,29,15,91.481903,2.0329313,0,1,16,0,0,16,0,4,7,1,0,1.9208707,-2.5173914,-0.69064075,0.70324135,2.6041558,-2.541167,-0.6981613,0.70534098,2.7361968,-2.2493284,-0.50983775,0.86258733,2.8676183,31.775312,6,0.2,17,46,1,30,5,6,0.2,28,0,20.474327,17.14411,8.8259087,10.275657,13.163722,9.552556,4.4576125,6.1910715,1,1,1.0593754,29,0,-0.79402292,-0.45866734,0.15319817,2.6510408,-1.2938401,-0.36740878,0.14698952,2.7535007,-0.49485022,-0.22454044,0.2494918,2.9125848,13.380928,17.983747,4.5169458,-1.6117834,1.8598194,-4.4069901,1.2576381,9.9425631,10.995323,-2.1474061,-30.794064,14,1.6878082,58.429401,25.262222,10.543388,6.2571902,22.24342,9.239357,5.464087,7.0867205,11,5,1,1,2.82653,-3.64856,10.962518,1,2,17,0,3,6,2,0,0,2.0827758,-2.0827758,0.16949829,0.12401585,55.41769,37.853561,33.698608,0,0,40.818676,13.666999,136.6687,0,0,32.816418,58.552563,33.931049,0,0.62121958,0.53233904,0.23835579,0.37878039,0.46766099,0.14042462,241.03729,206.55104,92.483612,146.96928,181.45554,54.485676,0,0,0,0,0,0,1,0,0,0,1,0,388.00659,0,0,0,388.00659,0,29,1,3,0,0,0.51724136,2.1651001,133.8289,40.656677,0,50.935009,6.37115,0,0,127.79057,1.1528039,104.58083,10.72573,29.519381,126.95545,68.945755,17.153154,7.0450215,141.94186,0,73.755302,181.62,0.37091795,5.9068904,3.4511375,9.1855221,388.00659,444.67236,11.365152,0,0,0,167.72279,128.91479,91.36898,487.203,2735,46,148
Brc1cc(CP(=O)(O)O)c2nc(O)c(O)nc2c1,0.17609125,34.064342,0,0,3,4,7,0,10,0,26,5,12,18,8,56.072468,2.1566334,0,1,9,0,0,8,0,2,5,1,0,2.1026344,-2.3762393,-0.71626443,0.66638124,2.5094817,-2.2967465,-0.96271402,0.66214037,2.7172012,-2.1041961,-0.41808039,1.0177102,2.7877641,21.113655,2,0.10526316,11,27,0,19,3,2,0.10526316,16,0,13.499636,11.258939,4.8618073,5.585422,8.2598391,7.2782812,2.2582538,3.0412414,0,0,1.1810312,8,0,-0.73652339,-0.50638181,0.14236857,2.343137,-1.2934176,-0.46040601,0.003787244,2.5053136,-0.440339,-0.23098379,0.35976982,2.6408973,8.8564663,13.943768,2.7711847,0.71920121,0.36717138,-2.3476753,1.2613982,5.8039341,6.9141932,-2.0245814,-8.4776525,14,1.1690521,24.976606,14.409972,5.1747918,3.5261707,14.269489,5.1212597,3.4881427,4.0598755,7,4,1,0,0.79452997,-0.97713,6.7972398,0,1,11,1,2,2,0,0,0,1.4514663,-1.4514663,0.2371432,0.14840609,33.869198,2.2085397,13.399102,0,0,43.228069,13.666999,43.624847,0,0,27.133842,58.552563,0,0,0.51015747,0.54866564,0.24843761,0.4898425,0.45133436,0.24140489,120.23553,129.31125,58.552563,115.44763,106.37191,56.895069,0.5,1,0,0,0,0,1,0,0,0,1,0,235.68317,0,0,0,235.68317,0,4,1,2,0,0,0.33333334,0.67739999,115.81815,33.57106,0,0,3.185575,3.0551045,0,39.574642,0,86.422005,6.5834198,22.433765,126.95545,3.0551045,12.814776,4.2882738,51.325611,0,60.753567,123.77,0.52150291,5.2479277,2.8157024,8.0708361,235.68317,276.86481,11.365152,0,0,0,110.43069,39.566059,85.686401,335.04999,567,27,96
Clc1cc(CP(=O)(O)O)c2nc(O)c(O)nc2c1,0.23044892,33.194344,0,0,2,3,7,0,10,0,26,5,12,18,8,56.072468,2.1566334,0,0,9,1,0,8,0,2,5,1,0,2.1026344,-2.3758113,-0.71885085,0.6647445,2.5097914,-2.2965915,-0.96275371,0.66203457,2.7172401,-2.1041937,-0.41899884,0.94681412,2.7874084,20.243656,2,0.10526316,11,27,0,19,3,2,0.10526316,16,0,13.499636,10.428871,4.8618073,5.585422,8.2598391,6.8632474,2.2582538,3.0412414,0,0,1.0708849,8,0,-0.73645711,-0.50568277,0.14185125,2.3443644,-1.2934184,-0.454207,0.003787186,2.5029035,-0.44032407,-0.23099338,0.35945064,2.6344652,8.8932819,13.805408,2.7120624,0.56226981,0.18545331,-2.1635196,1.2614546,5.909955,6.7330618,-2.0163624,-8.4465456,14,1.1273375,24.919924,14.409972,5.1747918,3.5261707,13.482199,4.8216653,3.2755296,3.6114807,7,4,1,0,0.58853,-0.62102997,6.5475044,0,1,11,1,2,2,0,0,0,1.4846998,-1.4846998,0.23183508,0.14508398,31.616989,6.7282863,13.399102,0,0,43.228069,13.666999,0,29.581947,0,27.133842,58.552563,0,0,0.48439655,0.51480275,0.26150301,0.51560342,0.48519725,0.25410044,108.46017,115.26835,58.552563,115.44763,108.63944,56.895069,0.5,1,0,0,0,0,1,0,0,0,1,0,223.90779,0,0,0,223.90779,0,4,1,2,0,0,0.33333334,0.56830001,115.81815,33.57106,0,0,3.185575,0,3.5006065,39.574642,0,79.616554,6.3144202,22.433765,126.95545,0,16.315382,4.2882738,51.325611,0,53.948116,123.77,0.52150291,5.2479277,2.8157024,8.0708361,223.90779,263.83319,11.365152,0,0,0,98.655334,39.566059,85.686401,290.599,567,27,96
Clc1c(C)c(N(S(=O)(=O)C)CC(=O)O)c2NC(=O)C(=O)Nc2c1,0.30103001,42.313515,0,0,3,4,6,0,6,0,35,4,10,23,10,73.221146,2.0920327,0,0,12,1,0,12,0,3,6,0,1,2.3407438,-2.5284238,-0.50849032,0.41498557,2.5424037,-2.6628649,-0.46852174,0.4531149,2.551898,-2.1814237,-0.28458077,0.5621224,2.902513,26.188484,4,0.16666667,6,36,3,24,4,4,0.16666667,27,0,17.52458,13.578764,7.2844572,8.0330153,10.518764,8.3961315,2.6809037,3.4687619,0,0,1.0285094,9,0,-0.80877203,-0.47440898,0.068260081,2.5743508,-1.0188507,-0.46160677,0.096330412,2.6416233,-0.47919369,-0.19937417,0.19603671,2.895704,9.3054304,16.81864,7.4841704,0.73122424,0.8404004,-3.1851487,1.3736428,7.0935831,8.3484983,-1.0625582,3.7892518,14,1.3115577,4.4470987,19.326389,7.0869246,4.1587901,16.295008,5.9262414,3.4559917,4.1986151,9,3,1,0,-0.94599998,-2.7420599,8.0409203,0,1,11,1,2,3,1,0,0,2.0485778,-2.0485778,0.26861727,0.1280565,62.022102,11.219297,26.999058,0,0,14.708499,57.283573,2.2085397,29.581947,0,13.566921,43.381676,40.700764,0,0.48263574,0.42907423,0.27872103,0.51736426,0.57092577,0.23864324,145.59787,129.43985,84.082436,156.07451,172.23253,71.992073,0.44444445,0.80000001,0,0,0,0,1,0,0,0,1,0,301.67236,0,0,0,301.67236,0,5,0,2,0,0,0.13043478,0.38962001,1.5185606,102.45622,78.227394,43.824806,3.185575,31.691174,3.5006065,17.643185,0,80.744904,8.3274002,119.75834,0,26.903788,6.6861815,44.291744,17.643185,36.70261,110.80657,132.88,0.43892586,5.5849624,2.9182785,8.8141422,301.67236,339.97357,59.150364,0,0,11.365152,153.30984,50.713169,97.649361,361.76199,1044,40,122
Clc1c(N(S(=O)(=O)C)CC(=O)O)c2NC(=O)C(=O)Nc2cc1Cl,0.30103001,40.733135,0,0,3,4,6,0,6,0,32,4,10,23,10,71.152267,2.2235084,0,0,11,2,0,9,0,3,6,0,1,2.3407438,-2.5154471,-0.55622077,0.48470709,2.5389624,-2.6603518,-0.47077954,0.62109089,2.5346797,-2.1689856,-0.2851747,0.79138398,2.898484,23.328863,4,0.16666667,6,33,3,24,4,4,0.16666667,24,0,17.52458,13.712657,6.2844572,7.0330157,10.518764,8.4630785,2.1809037,2.8914115,0,0,1.0962387,9,0,-0.80840212,-0.47444129,0.068405338,2.5029185,-1.0188398,-0.46039203,0.17816034,2.5766392,-0.45359963,-0.20649776,0.2728743,2.8323848,9.5681534,16.246534,6.9471455,1.2185818,1.3333515,-3.6586225,1.3737609,7.2671642,8.3220453,-1.060882,3.781812,14,1.3055108,4.4562526,19.326389,7.0869246,4.1587901,17.374769,6.338933,3.7055471,4.7885866,9,3,1,0,-0.65200001,-3.3158801,8.0312128,0,1,11,1,2,3,1,0,0,2.1121774,-2.1121774,0.26052919,0.1242006,32.613655,15.739044,26.999058,0,0,14.708499,57.283573,0,59.163895,0,13.566921,43.381676,40.700764,0,0.48686215,0.51556665,0.27644414,0.51313788,0.48443332,0.23669372,148.08257,156.81325,84.082436,156.07451,147.34383,71.992073,0.44444445,0.80000001,0,0,0,0,1,0,0,0,1,0,304.15707,0,0,0,304.15707,0,5,0,2,0,0,0.47826087,0.73460001,1.5185606,102.45622,78.227394,43.824806,0,31.691174,7.0012131,17.643185,0,86.567528,8.3547001,119.75834,0,26.903788,7.0012131,44.291744,17.643185,36.70261,116.6292,132.88,0.43892586,5.5849624,2.9182785,8.8141422,304.15707,340.35287,59.150364,0,0,11.365152,155.79456,50.713169,97.649361,382.17999,1044,40,122
P(=O)(O)(O)C(NCc1ccccc1)c1c2nc(O)c(O)nc2ccc1.Br,0.49136171,53.485481,0,0,3,5,8,0,16,0,43,6,14,26,14,83.477989,1.9413486,0,1,16,0,0,17,0,3,5,1,0,1.8029362,-2.5197186,-0.68419033,0.69748795,2.5992551,-2.5412672,-0.68743885,0.72155833,2.7344522,-2.2489626,-0.49986199,0.85431087,2.8667622,31.612518,5,0.18518518,17,44,0,27,5,5,0.18518518,27,0,18.026733,15.95775,8.9032593,10.405413,11.859192,9.0531178,4.5469289,6.3745747,1,1,1.0173532,26,0,-0.79418057,-0.45849299,0.14399017,2.6024075,-1.2938213,-0.36217821,0.14070688,2.7171504,-0.4922086,-0.21605732,0.24755269,2.87924,10.701135,17.146881,3.8298733,-1.6404573,1.6755482,-3.8483174,1.2585299,8.7516985,10.31313,-2.0346067,-31.928854,14,1.1918557,59.723385,22.29081,9.4674559,5.5177011,20.154163,8.5239449,4.9528618,6.6074219,8,5,1,0,2.8175299,-2.85833,10.473022,0,2,17,1,3,5,0,0,0,1.5663968,-1.5663968,0.22537357,0.13748631,102.84317,2.2085397,33.698608,0,0,34.119125,13.666999,136.6687,0,0,32.816418,58.552563,0,0,0.70392096,0.4806262,0.16302802,0.29607901,0.51937383,0.13305101,252.81775,172.62,58.552563,106.33868,186.53645,47.786125,0,0,0,0,0,0,1,0,0,0,1,0,359.15643,0,0,0,359.15643,0,26,1,3,0,0,0.57692307,2.2569001,133.8289,33.57106,0,0,6.37115,0,0,145.43375,1.1528039,101.82408,10.06029,22.433765,126.95545,18.01075,17.153154,4.2882738,159.58505,0,73.755302,135.8,0.40176207,5.7548876,3.4339535,8.8683558,359.15643,417.81949,11.365152,0,0,0,172.80371,94.983749,91.36898,442.20599,2108,40,132
Clc1c(N(S(=O)(=O)C)CCO)c2NC(=O)C(=O)Nc2cc1C,0.60206002,42.8451,0,0,2,3,5,0,6,0,36,3,8,22,11,73.430252,2.0397294,0,0,12,1,0,14,0,3,5,0,1,2.3193662,-2.5729058,-0.52345109,0.38916743,2.5549352,-2.7,-0.47496077,0.50214005,2.554718,-2.2510121,-0.27442694,0.6001702,2.9113772,27.416899,4,0.17391305,6,37,2,23,5,4,0.17391305,29,0,16.654337,13.377623,7.4915638,8.1627722,10.162921,8.4310751,2.8273504,3.5605135,0,0,1.0023249,9,0,-0.80893326,-0.44556615,0.036999278,2.5823631,-1.018811,-0.46812239,0.041539788,2.6558189,-0.5108521,-0.18703301,0.18426336,2.9031765,8.5200577,15.062768,7.4774814,1.0161666,1.0308843,-3.0810671,1.3765526,6.120748,8.2076092,-0.061609879,8.1827631,14,1.296411,0.038128119,18.340265,6.8571429,3.7530863,16.033949,5.9543724,3.2430077,4.3396411,8,3,1,0,-1.145,-2.54368,7.9933248,0,1,11,1,2,3,0,0,0,1.8587821,-1.8587821,0.29603961,0.13980266,66.541847,26.999058,6.6995511,22.058474,0,0,57.283573,2.2085397,29.581947,0,0,56.948597,27.133842,0,0.52153188,0.39218411,0.28458586,0.47846815,0.60781592,0.19388229,154.08942,115.87292,84.082436,141.36601,179.5825,57.283573,0.44444445,0.80000001,0,0,0,0,1,0,0,0,1,0,295.45544,0,0,0,295.45544,0,5,0,2,0,0,0.27272728,0.29732001,26.903788,94.710754,54.365173,39.365837,3.185575,31.691174,3.5006065,17.643185,0,80.744904,8.2723999,95.896118,25.385227,1.5185606,6.6861815,44.291744,17.643185,49.883404,110.80657,115.81,0.4530769,5.523562,2.8795512,8.6829548,295.45544,332.89304,59.150364,0,0,11.365152,175.36832,36.004669,84.082436,347.77899,926,39,116
